    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
10520 | 3297             3298 5.795e-05 |
10540 | 3301             3302 5.781e-05 |
10560 | 3309             3310 6.419e-05 |
10580 | 3315             3316 5.823e-05 |
10600 | 3319             3320 5.780e-05 |
10620 | 3328             3329 5.865e-05 |
10640 | 3333             3334 5.811e-05 |
10660 | 3336             3337 5.858e-05 |
10680 | 3345             3346 5.921e-05 |
10700 | 3351             3352 5.903e-05 |
10720 | 3356             3357 6.103e-05 |
10740 | 3362             3363 6.033e-05 |
10760 | 3369             3370 6.080e-05 |
10780 | 3374             3375 6.062e-05 |
10800 | 3382             3383 6.138e-05 |
10820 | 3386             3387 6.145e-05 |
10840 | 3392             3393 6.118e-05 |
10860 | 3400             3401 6.131e-05 |
10880 | 3404             3405 6.080e-05 |
10900 | 3411             3412 6.170e-05 |
10920 | 3419             3420 6.140e-05 |
10940 | 3423             3424 6.213e-05 |
10960 | 3430             3431 6.229e-05 |
10980 | 3437             3438 6.225e-05 |
11000 | 3441             3442 6.251e-05 |
11020 | 3451             3452 6.233e-05 |
11040 | 3455             3456 6.243e-05 |
11060 | 3459             3460 6.257e-05 |
11080 | 3468             3469 6.278e-05 |
11100 | 3473             3474 6.283e-05 |
11120 | 3478             3479 6.233e-05 |
11140 | 3487             3488 6.347e-05 |
11160 | 3492             3493 6.323e-05 |
11180 | 3499             3500 6.432e-05 |
11200 | 3507             3508 6.302e-05 |
11220 | 3512             3513 6.338e-05 |
11240 | 3519             3520 6.380e-05 |
11260 | 3527             3528 6.397e-05 |
11280 | 3531             3532 6.395e-05 |
11300 | 3537             3538 6.434e-05 |
11320 | 3545             3546 6.399e-05 |
11340 | 3550             3551 6.369e-05 |
11360 | 3556             3557 6.432e-05 |
11380 | 3565             3566 6.398e-05 |
11400 | 3570             3571 6.439e-05 |
11420 | 3580             3581 6.418e-05 |
11440 | 3585             3586 6.450e-05 |
11460 | 3589             3590 6.943e-05 |
11480 | 3598             3599 8.142e-05 |
11500 | 3603             3604 6.318e-05 |
11520 | 3607             3608 6.319e-05 |
11540 | 3617             3618 6.329e-05 |
11560 | 3622             3623 6.365e-05 |
11580 | 3627             3628 6.334e-05 |
11600 | 3636             3637 6.392e-05 |
11620 | 3641             3642 6.394e-05 |
11640 | 3648             3649 6.367e-05 |
11660 | 3654             3655 6.398e-05 |
11680 | 3659             3660 6.372e-05 |
11700 | 3665             3666 6.422e-05 |
11720 | 3673             3674 6.440e-05 |
11740 | 3677             3678 6.453e-05 |
11760 | 3684             3685 6.445e-05 |
11780 | 3691             3692 6.450e-05 |
11800 | 3695             3696 6.439e-05 |
11820 | 3705             3706 6.559e-05 |
11840 | 3711             3712 6.509e-05 |
11860 | 3715             3716 6.511e-05 |
11880 | 3724             3725 6.527e-05 |
11900 | 3728             3729 6.514e-05 |
11920 | 3732             3733 6.556e-05 |
11940 | 3742             3743 6.535e-05 |
11960 | 3747             3748 6.524e-05 |
11980 | 3752             3753 6.594e-05 |
12000 | 3761             3762 6.652e-05 |
12020 | 3766             3767 6.642e-05 |
12040 | 3773             3774 6.716e-05 |
12060 | 3780             3781 6.673e-05 |
12080 | 3784             3785 6.652e-05 |
12100 | 3791             3792 6.702e-05 |
